Autoclave Testing Services,1986,www.atssupplies.com,845-236-0010,"P.O. Box 270 
Pearl River, New York    10965
",NetAdvantage
Barnett Medical Services,1961,https://www.bmswaste.com,510-429-9911,"30620 San Antonio Street 
Hayward, California    94544
",NetAdvantage
Bay Disposal,2000,www.baydisposal.com,757-857-9700,"465 East Indian River Road 
Norfolk, Virginia    23523
",NetAdvantage
Beiseker Medical Waste Treatment Facility,1993,-,,"Beiseker, Alberta
",NetAdvantage
Big Blue Corporation,2005,-,,"PO Box 6616 
Caguas, Puerto Rico    00826-6616
",NetAdvantage
Bio Systems Partners,1985,-,631-756-9433,"210 Sherwood Avenue 
Farmingdale, New York    11735
",NetAdvantage
Bio-Oxidation,-,-,,,NetAdvantage
Bio-Team Mobile,2000,bioteammobile.com,717-464-7336,"6 East Kendig Road 
Willow Street, Pennsylvania    17584
",NetAdvantage
BioCycle,2011,biocycle-inc.com,806-353-7040,"P. O. Box 20927 
Amarillo, Texas    79114
",NetAdvantage
BioMedical Technology Solutions Holdings,2005,www.bmtscorp.com,303-653-0100,"12741 East Caley Avenue
Unit 140 
Centennial, Colorado    80111
",NetAdvantage
BioMedical Waste Systems,1990,-,617-556-4033,"200 High Street 
Boston, Massachusetts    02110-3036
",NetAdvantage
Biosafe,-,-,,"Florida
",NetAdvantage
BioTran,2008,www.biotraninc.com,770-570-9831,"55 Oxford Business Parkway
Suite C 
Oxford, Georgia    30054
",NetAdvantage
Bluestone Medical,2013,-,949-333-0919,"9 North Main Street 
East Hampton, New York    11937
",NetAdvantage
Bondtech Corporation,1986,www.bondtech.net,606-677-2616,"1278 Highway 461 
Somerset, Kentucky    42503
",NetAdvantage
Browning-Ferris Industries,1967,-,281-870-8100,"757 North Eldridge 
Houston, Texas    77079
",NetAdvantage
C-K Composites Co.,1985,www.ckcomposites.com,724-547-4581,"361 Bridgeport Street 
Mount Pleasant, Pennsylvania    15666
",NetAdvantage
Caprius,1983,www.caprius.com,201-342-0900,"10 Forest Avenue
Suite 220 
Paramus, New Jersey    07652
",NetAdvantage
Chambers Development Company,1971,-,412-242-6237,"10700 Frankstown Road 
Pittsburgh, Pennsylvania    15235
",NetAdvantage
Champion Plastics Corp.,1972,www.championplastics.com,973-777-9400,"220 Clifton Boulevard 
Clifton, New Jersey    07011
",NetAdvantage
Chester County Solid Waste Authority,1984,www.chestercswa.org,610-273-3771,"7224 28th Division Highway 
Narvon, Pennsylvania    17555-9505
",NetAdvantage
CitiWaste,2006,www.citiwaste.com,718-372-3887,"100-02 Farragut Road 
Brooklyn, New York    11236
",NetAdvantage
CMI Terex Corporation,1926,-,405-787-6020,"I-40 & Morgan Road 
Oklahoma City, Oklahoma    73101
",NetAdvantage
Colorado Medical Waste,1992,www.coloradomedicalwaste.com,303-794-5716,"3131 Oakland Street 
Aurora, Colorado    80010-1508
",NetAdvantage
Commercial Plastics Kenosha,1940,www.xtenindustries.com,262-605-9000,"9600 55th Street 
Kenosha, Wisconsin    53144
",NetAdvantage
"Commodore Medical Services of Virginia, L.P.",1991,-,615-297-2104,"1941 Cement Plant Road 
Nashville, Tennessee    37208
",NetAdvantage
Cooper Environmental Services,1996,www.cooperenvironmental.com,503-670-8127,"10180 SW Nimbus Avenue
Suite J6 
Portland, Oregon    97223
",NetAdvantage
Corrugated Container Corporation,1963,www.cccbox.com,540-774-0500,"6405 Commonwealth Drive SW 
Roanoke, Virginia    24018
",NetAdvantage
Culver Enterprises,-,-,,,NetAdvantage
Curtis Bay Energy Southeast,-,-,,"2290 31st Street South 
St. Petersburg, Florida    33701
",NetAdvantage
Curtis Bay Medical Waste Services,1988,www.curtisbaymws.com,855-228-1715,"1501 South Clinton Street
Suite 130 
Baltimore, Maryland    21224
",NetAdvantage
Curtis Bay Medical Waste Services,1988,curtisbayenergy.com,855-228-1715,"3200 Hawkins Point Road 
Baltimore, Maryland    21226
",NetAdvantage
Cycle Chem,1962,www.cyclechem.com,908-355-5800,"201 South First Street 
Elizabeth, New Jersey    07206
",NetAdvantage
DesertMicro,1997,www.desertmicro.net,904-641-0836,"10550 Deerwood Park Boulevard 
Jacksonville, Florida    32256-2812
",NetAdvantage
Disston Precision,1840,www.disstonprecision.com,215-338-1200,"6795 State Road 
Philadelphia, Pennsylvania    19135
",NetAdvantage
Dynamis Energy,2010,https://www.dynamisenergy.com,208-938-2680,"776 East Riverside Drive
Suite 150 
Eagle, Idaho    83616
",NetAdvantage
Eastmount Environmental Services,1977,www.eastmount.com,978-499-9300,"2 New Pasture Road
Unit 5 
Newburyport, Massachusetts    01950
",NetAdvantage
Eco Burn,1994,www.ecosolutions.com,905-634-7022,"14-5195 Harvester Road 
Burlington, Ontario    L7L 6E9
",NetAdvantage
ECO Medical Waste Holdings,-,-,,"2912 Wichita Street 
Houston, Texas    77004
",NetAdvantage
Ecodas Corp.,-,-,917-855-6621,"1400 Hubell Place
Suite 1206 
Seattle, Washington    98101
",NetAdvantage
ecoTech Waste Management Systems,1980,www.etwm.ca,604-638-8286,"1786 Angus Campbell Road 
Abbotsford, British Columbia    V6Z 1S4
",NetAdvantage
EnergySolutions,2007,www.energysolutions.com,801-649-2000,"299 South Main Street
Suite 1700 
Salt Lake City, Utah    84111
",NetAdvantage
Engineered Recovery Systems,-,www.ersmedicalwaste.com,800-246-7786,"18181 West 53rd Street 
Shawnee, Kansas    66217
",NetAdvantage
Enserv,2003,-,713-580-4050,"6565 West Loop South
Suite 400 
Bellaire, Texas    77401
",NetAdvantage
Entech Alaska,1999,www.entechalaska.com,907-344-1535,"440 East 100th Avenue 
Anchorage, Alaska    99515
",NetAdvantage
Estrategy Consulting,2008,www.estrategymedwaste.com,505-856-4000,"4500 Anaheim Avenue NE
Building. A 
Albuquerque, New Mexico    87113
",NetAdvantage
EWS Alabama,1986,www.ewsalabama.com,256-492-8340,"402 Webster Chapel Road 
Glencoe, Alabama    35905
",NetAdvantage
Five Star Waste,-,-,561-586-6888,"2101 7th Avenue North 
Lake Worth, Florida    33461
",NetAdvantage
Florida Bio-Compliance,-,-,,"436 Landstreet Road 
Orlando, Florida    32824-7838
",NetAdvantage
Franklin Miller,1918,www.franklinmiller.com,973-535-9200,"60 Okner Parkway 
Livingston, New Jersey    07039
",NetAdvantage
Freedom Imaging,1983,www.freedomimaging.net,714-535-2520,"1401 E Ball Rd Ste E 
Anaheim, California    92805-5927
",NetAdvantage
Gamma Healthcare,1981,gammahealthcare.com/,573-727-5600,"1717 West Maud Street 
Poplar Bluff, Missouri    63901
",NetAdvantage
General Body Manufacturing Co.,1919,www.generalbody.com,713 692 5177,"7110 Jensen Drive 
Houston, Texas    77093
",NetAdvantage
Genesis Environmental,1997,-,412-672-0400,"380 Locust Street 
Mckeesport, Pennsylvania    15132-2623
",NetAdvantage
Green Processing Technologies,2009,-,435-640-9046,"1260 W Lions Head Dr 
Washington, Utah    84780-8425
",NetAdvantage
Groot Industries,1914,www.groot.com,773-242-1977,"2500 Landmeier Road 
Elk Grove Village, Illinois    60007
",NetAdvantage
Healthcare Medical Waste Services,2011,www.hcmws.com,719-445-5044,"6 North Tejon
Suite 100 
Colorado Springs, Colorado    80903
",NetAdvantage
Healthcare Waste Solutions,2001,-,513-475-3000,"4357 Ferguson Drive
Suite 100 
Cincinnati, Ohio    45245
",NetAdvantage
Hemophilia Resources of America,1993,-,973-276-0254,"45 Route 46 East
Suite 609 
Pine Brook, New Jersey    07058-9607
",NetAdvantage
Heritage Environmental Services,1970,www.heritage-enviro.com,317-243-0811,"7901 West Morris Street 
Indianapolis, Indiana    46231-1366
",NetAdvantage
Heritage Interactive Services,2000,www.heritage-interactive.com,317-334-2300,"3719 West 96th Street 
Indianapolis, Indiana    46268
",NetAdvantage
Honua Technologies,2004,www.honuatech.com,808-523-3140,"500 Ala Moana Boulevard
Suite 7-220 
Honolulu, Hawaii    96813
",NetAdvantage
Hospitec,-,www.hospitecinc.com,800-337-2885,"3730 Wheeler Avenue 
Fort Smith, Arkansas    72901
",NetAdvantage
Houston Poly Bag,1979,www.houstonpolybag.com,281-351-1726,"11726 Holderrieth Road 
Tomball, Texas    77375
",NetAdvantage
InEnTec Medical Services,1995,-,509-946-5700,"10300 SW Greenburg Road
Suite 460 
Portland, Oregon    97223
",NetAdvantage
Integrated Medical Technologies,2008,www.integratedmedtech.com,309-662-3614,"14 Stonebrook Court 
Bloomington, Illinois    61704
",NetAdvantage
Iowa Medical Waste Reduction Center,1992,-,319-365-0950,"500 41st Avenue Drive SW 
Cedar Rapids, Iowa    52404
",NetAdvantage
IPEG,1999,www.ipeg.net,724-584-5500,"200 West Kensinger Drive 
Cranberry Township, Pennsylvania    16066
",NetAdvantage
Klean Industries,2005,www.kleanindustries.com,604-637-9609,"349 West Georgia Street
Suite 3038 
Vancouver, British Columbia    V6B 3X5
",NetAdvantage
Legal Shred,2007,www.legalshred.com,813-445-7301,"11806 S US Highway 41 
Gibsonton, Florida    33534
",NetAdvantage
LipoScience,1994,-,919-212-1999,"2500 Sumner Boulevard 
Raleigh, North Carolina    27616
",NetAdvantage
M.C.M. Environmental Technologies,1996,-,201-242-1222,"One University Plaza
Suite 400 
Hackensack, New Jersey    07601
",NetAdvantage
Macau Capital Investments,-,-,408-223-3456,"5542 Monterey Road No. 217 
San Jose, California    95138
",NetAdvantage
Mashpee Holdings Corporation,1988,envirosafene.com,508-888-5478,"14B Jan Sebastian Drive 
Sandwich, Massachusetts    02563
",NetAdvantage
MCF Systems Atlanta,1989,https://mcfenvironmental.com,770-593-9434,"4319 Tanners Church Road 
Ellenwood, Georgia    30035
",NetAdvantage
MD International,1987,-,305-669-9003,"11300 NW 41st Street 
Miami, Florida    33178
",NetAdvantage
MedClean Management Solutions,2003,www.medcleansolutions.com,214-432-2626,"501 Davis Road 
League City, Texas    77573
",NetAdvantage
MedClean Systems,-,-,806-352-5335,"4020 West 51ST Avenue 
Amarillo, Texas    79109
",NetAdvantage
MedClean Technologies,1997,www.medcleantechnologies.com,203-798-1080,"310 Stoke Park Road 
Bethlehem, Pennsylvania    18017
",NetAdvantage
Medical Action Industries,1977,www.medical-action.com,631-231-4600,"500 Expressway Drive South 
Brentwood, New York    11717
",NetAdvantage
Medical Coaches,1949,www.medcoach.com,607-432-1333,"399 County Highway 58
P.O. Box 129 
Oneonta, New York    13820-0129
",NetAdvantage
Medical Waste Corporation Of America,-,-,,,NetAdvantage
Medical Waste Management,1998,-,905-789-6660,"95 Deerhurst Drive 
Brampton, Ontario    L6T 5R7
",NetAdvantage
Medical Waste Systems,-,www.medicalwastesystemsinc.com,,"2550 Lafayette Avenue 
Terre Haute, Indiana    47803
",NetAdvantage
Medical Waste,1986,www.medicalwasteinc.com,423-472-7103,"2190 Westland Drive SW 
Cleveland, Tennessee    37311-8157
",NetAdvantage
Medifor-X Corporation,-,-,,"Shelton, Connecticut
",NetAdvantage
Medmentum,2011,www.medmentum.com,888-963-7386,"901 Martin Luther King Junior Drive 
North Chicago, Illinois    60064
",NetAdvantage
MedPro Rx,2002,diplomat.is/medpro-rx/,919-847-9001,"140 Northway Court 
Raleigh, North Carolina    27615-4916
",NetAdvantage
MedPro Waste Disposal,2009,www.medprodisposal.com,888-641-6131,"1548 Bond Street
Suite 106 
Naperville, Illinois    60563
",NetAdvantage
MedServe,2003,-,713-580-4000,"6565 West Loop South
Suite 400 
Bellaire, Texas    77401
",NetAdvantage
MedSolutions,1993,-,972-931-2374,"12750 Merit Drive
Park Central VII
Suite 770 
Dallas, Texas    75251
",NetAdvantage
Metrex Research Corporation,1985,www.metrex.com,714-516-7788,"1717 West Collins Avenue 
Orange, California    92867
",NetAdvantage
Micro-Med Industries,-,-,904-693-3254,"5169 West 12th Street 
Jacksonville, Florida    32254
",NetAdvantage
Microtek Medical Holdings,1987,-,678-896-4400,"13000 Deerfield Parkway
Suite 300 
Alpharetta, Georgia    30004
",NetAdvantage
Microtek Medical,-,www.microtekmed.com/about_overview.htm,601-327-1863,"512 Lehmberg Road 
Columbus, Mississippi    39704
",NetAdvantage
Millennium Maintenance Systems,2001,www.mjanitorial.com,888-775-6595,"26007 Huntington Lane
Suite 11 
Valencia, California    91355
",NetAdvantage
Milum Textile Services Company,1957,www.milumtextileservices.com,602-253-5173,"333 North 7th Avenue 
Phoenix, Arizona    85007
",NetAdvantage
Mountain High Medical Disposal Services,-,-,801-973-0749,"2500 Decker Lake Boulevard
Suite 12 
Salt Lake City, Utah    84119-2055
",NetAdvantage
National Medical Waste Inc,-,-,,,NetAdvantage
National Waste Management,-,-,978-373-2772,"161 Ferry Road 
Haverhill, Massachusetts    01835
",NetAdvantage
Nicklin Associates,1997,-,,"6 1/2 Station Road 
Goshen, New York    10924
",NetAdvantage
North American Recycling Corporation,1974,-,,"1111 West 12th Street
Suite 120 
Austin, Texas    78703-4158
",NetAdvantage
NX Global,1995,-,512-354-7840,"16238 F-108 Ranch Road 
Austin, Texas    78717
",NetAdvantage
"On Call Medical Waste Service, Ltd.",-,-,972-931-1469,"4035 Joshua Lane 
Dallas, Texas    75287
",NetAdvantage
Oncology Services International,1985,www.thinkosi.com,845-357-6560,"400 Rella Boulevard
Suite 123 
Montebello, New York    10901
",NetAdvantage
Oneighty C Technologies Corporation,2013,oneightyc.com,781-932-0300,"7 Redstone Lane 
Marblehead, Massachusetts    01945
",NetAdvantage
Otto Environmental Systems North America,-,www.otto-usa.com,704-588-9191,"12700 General Drive 
Charlotte, North Carolina    28273
",NetAdvantage
Oxford Development Company,1983,-,412-261-1500,"One Oxford Centre
301 Grant Street
Suite 4500 
Pittsburgh, Pennsylvania    15219
",NetAdvantage
Paragon Southwest Medical Waste,2017,-,702 335 0356,"2500 Summer Street
Suite 1210 
Austin, Texas    77007
",NetAdvantage
PMT USA,-,-,,"333 North Sam Houston Parkway
Suite 1190 
Houston, Texas    77060
",NetAdvantage
Polo Custom Products,1947,www.polocustomproducts.com,785-273-3990,"3601 S.W. 29th Street 
Topeka, Kansas    66614
",NetAdvantage
Positive Impact Waste Solutions,-,www.piwsinc.com,432-550-5883,"P.O. Box 14692 
Odessa, Texas    79768
",NetAdvantage
PrimeCare Medical,1986,www.primecaremedical.com,717-545-5787,"3940 Locust Lane 
Harrisburg, Pennsylvania    17109
",NetAdvantage
ProMed Waste Solutions,2011,www.promedicalwaste.com,727-527-0300,"750 5th Avenue South 
St. Petersburg, Florida    33701
",NetAdvantage
Quantum Plastics,2014,www.quantumplastics.com,847-695-9700,"1000 Davis Road 
Elgin, Illinois    60123
",NetAdvantage
Recovery Corp. of America,-,-,858-748-9400,"13977 Poway Road 
Poway, California    92064
",NetAdvantage
Recycle Solutions,2001,www.recyclesolutions.net,901-948-9500,"1054 Kansas Street 
Memphis, Tennessee    38106
",NetAdvantage
Red Bag Solutions,1989,www.redbag.com,443-524-4245,"3431 Benson Avenue
Suite 100 
Baltimore, Maryland    21227
",NetAdvantage
RedX Medical,2012,-,770-426-1147,"255 Hardage Drive SW 
Marietta, Georgia    30064
",NetAdvantage
Remcon Plastics,1982,www.remcon.com,610-376-2666,"208 Chestnut Street 
Reading, Pennsylvania    19602-1809
",NetAdvantage
Remote Light,1999,-,919-845-9378,"8824 Stage Ford Road 
Raleigh, North Carolina    27615
",NetAdvantage
Republic Machine,1911,www.republicmachine.com,502-637-6778,"4104 Bishop Lane 
Louisville, Kentucky    40218
",NetAdvantage
Restoration Environmental Contractors Ltd.,1989,www.environmentalhazards.com,905-888-0066,"10 Stalwart Industrial Drive
Unit 5 
Gormley, Ontario    L0H 1G0
",NetAdvantage
Rock River Environmental Solutions,2008,www.rrenvsolutions.com,815-654-4726,"5450 Wansford Way 
Rockford, Illinois    61109
",NetAdvantage
Romo,1953,www.romoinc.com,920-712-4083,"800 Heritage Road 
De Pere, Wisconsin    54115
",NetAdvantage
Rotonics Manufacturing,1943,-,,"6780 Brighton Boulevard 
Commerce City, Colorado    80022
",NetAdvantage
Rubbermaid Commercial Products,1968,www.rubbermaidcommercial.com,540-667-8700,"3124 Valley Avenue 
Winchester, Virginia    22601
",NetAdvantage
Sanitec Industries,1990,www.sanitecind.com,818-523-1942,"10700 Sherman Way 
Burbank, California    91505
",NetAdvantage
Sanitec Services of Hawaii,1990,-,808-853-1111,"1001 Pu’uwai Street 
Honolulu, Hawaii    96819
",NetAdvantage
Sanitec,1990,-,201-227-8855,"26 Fairfield Place 
West Caldwell, New Jersey    07006
",NetAdvantage
ScanTech Holdings,2001,www.scantechholdings.com,404-526-6220,"75 Fifth Street NW
Suite 430 
Atlanta, Georgia    30308
",NetAdvantage
Schaefer Systems International,1989,www.ssi-schaefer.us,704-944-4500,"10021 Westlake Drive 
Charlotte, North Carolina    28273
",NetAdvantage
Scherer Healthcare,-,-,770-933-1800,"120 Interstate North Parkway South East
Suite 305 
Atlanta, Georgia    30339
",NetAdvantage
Schryver Medical Sales And Marketing,1993,www.schryvermedical.com,303-371-0073,"12075 East 45th Avenue
Suite 600 
Denver, Colorado    80239
",NetAdvantage
Sharps Compliance of Texas,1996,-,713-432-0300,"9220 Kirby Drive
Suite 500 
Houston, Texas    77054
",NetAdvantage
Sharps MD,1997,www.sharpsmd.net,727-447-6200,"1127 Seminole Street 
Clearwater, Florida    33755
",NetAdvantage
Shred-Tech Corp.,1977,www.shred-tech.com,519-621-3560,"295 Pinebush Road 
Cambridge, Ontario    N1T 1B2
",NetAdvantage
Singulex,1997,www.singulex.com,510-995-9000,"1701 Harbor Bay Parkway
Suite 200 
Alameda, California    94502
",NetAdvantage
SLM Facility Solutions Nationwide,1998,slmfacilities.com,888-847-4449,"5000 Commerce Drive 
Green Lane, Pennsylvania    18054
",NetAdvantage
Snyder Industries,1957,www.snydernet.com,402-467-5221,"6940 ""O"" Street
Suite 100 
Lincoln, Nebraska    68504
",NetAdvantage
SorbTech Mfg.,-,www.sorb-tech.com,603-382-8481,"4 Wilder Drive
Suite 7 
Plaistow, New Hampshire    03865
",NetAdvantage
Spectrum Environmental Solutions,2004,-,760-489-5009,"1996 Don Lee Place
Suite C 
Escondido, California    92029
",NetAdvantage
SSI Shredding Systems,1980,www.ssiworld.com,503-682-3633,"9760 SW Freeman Drive 
Wilsonville, Oregon    97070
",NetAdvantage
Sterall,2012,sterall.com,954-933-1081,"1940 NW 22 Street 
Pompano Beach, Florida    33069
",NetAdvantage
Stericycle ULC CANADA,1993,www.stericycle.ca,905-595-2651,"19 Armthorpe Road 
Brampton, Ontario    L6T 5M4
",NetAdvantage
Sterilecycle,1987,-,801-936-1555,"90 N Foxboro Dr 
North Salt Lake, Utah    84054-3164
",NetAdvantage
Sterilis Medical Corporation,2011,www.sterilismedical.com,508-875-1070,"85 Swanson Road
Suite 310 
Boxborough, Massachusetts    01719
",NetAdvantage
Sterilis,2014,http://www.sterilismedical.com/,508-875-1070,"85 Swanson Road
Suite 310 
Boxborough, Massachusetts    01719
",NetAdvantage
Sure-Way Systems,1983,-,406-846-2033,"404 Main Street 
Deer Lodge, Montana    59722
",NetAdvantage
Sustainable Waste Power Systems,2011,gipoplant.com,203-431-5706,"307 Wilton Road East 
Ridgefield, Connecticut    06877
",NetAdvantage
Action Environmental,1992,http://actioncarting.com,813-909-0040,"3007 N 50th St 
Tampa, Florida    33619-2319
",NetAdvantage
Target Medical Waste Services,-,-,,"Mobile, Alabama
",NetAdvantage
Tempico Manufacturing,1990,tempico.gostrategic.com,985-429-9929,"1700 West Church Street
Suite C 
Hammond, Louisiana    70401
",NetAdvantage
The Mark-Costello Co.,1956,www.mark-costello.com,310-637-1851,"1145 East Dominguez Street 
Carson, California    90746
",NetAdvantage
The O'Neil Group Company,2007,www.theoneilgroupco.com,719-445-5050,"6 North Tejon
Suite 100 
Colorado Springs, Colorado    80903
",NetAdvantage
Toter,1962,www.toter.com,704-872-8171,"841 Meacham Road 
Statesville, North Carolina    28677
",NetAdvantage
Transmed,-,-,,,NetAdvantage
Trilogy MedWaste,2017,trilogymedwaste.com,832-265-6979,"8582 Katy Freeway 
Houston, Texas    77024
",NetAdvantage
Universal Plastic Bag Manufacturing Co.,1996,www.universalplastic.com,323-585-1111,"6234 Bissell Place 
Ontario, California    90255
",NetAdvantage
Veolia Environmental Services North America Corp.,2000,www.veoliaes.com,312-552-2800,"200 East Randolph Drive
Suite 7900 
Chicago, Illinois    60601
",NetAdvantage
Veolia ES Solid Waste,-,-,414-479-7800,"84th Street
One Honey Creed Corporate Center -125 South
Suite 200 
Milwaukee, Wisconsin    53214
",NetAdvantage
Verantis Corporation,1926,www.verantis.com,440-243-0700,"7251 Engle Road
Suite 300 
Middleburg Heights, Ohio    44130
",NetAdvantage
Viradys Medical Waste Solutions,2014,www.viradys.com,864-881-1838,"1001 Thornblade Boulevard 
Greer, South Carolina    29650
",NetAdvantage
Wes-Pak,1990,www.wespakinc.com,501-372-1900,"11610 Vimy Ridge Road 
Little Rock, Arkansas    72002-1772
",NetAdvantage
Wilkinson Hi-Rise,1923,www.whrise.com,954-342-4400,"2821 Evans Street 
Hollywood, Florida    33020
",NetAdvantage
WM Healthcare Solutions,2005,www.wm.com/enterprise/healthcare/index.jsp,800-364-9693,"1996 Don Lee Place
Suite C 
Escondido, California    92029-1147
",NetAdvantage
"MCF Systems Atlanta, Inc.",1989,-,770-593-9434,"4319 Tanners Church Road 
Ellenwood, Georgia    30035
",NetAdvantage
Tanktek Llc,1992,www.envirotek.com,813-909-0040,"3007 N 50th St 
Tampa, Florida    33619-2319
",NetAdvantage
"4028546 Canada, Inc.",2002,www.iviewsystems.com,905-829-2500,"Unit B-203
2381 Bristol Circle 
Oakville, Ontario    L6H 5S9
",NetAdvantage
A.P. Unix Inc.,1981,www.apunix.com,858-673-8649,"17150 Via Del Campo
Suite 308 
San Diego, California    92127
",NetAdvantage
Acme Future Security Controls Inc.,1982,www.a-fsc.com,613-526-4224,"2170 Thurston Drive 
Ottawa, Ontario    K1G 5A7
",NetAdvantage
AlertEnterprise Inc.,2007,www.alertenterprise.com,510-440-0840,"4350 Starboard Drive 
Fremont, California    94538
",NetAdvantage
AlliedBarton Security Services LLC,1957,www.alliedbarton.com,484-351-1300,"161 Washington Street
Eight Tower Bridge
Suite 600 
Conshohocken, Pennsylvania    19428
",NetAdvantage
"AMAG Technology, Inc.",1987,www.amag.com,310-518-2380,"20701 Manhattan Place 
Torrance, California    90501
",NetAdvantage
"BadgePass, Inc.",-,www.badgepass.com,601-499-2131,"280 Trace Colony Park 
Ridgeland, Mississippi    39157
",NetAdvantage
Brady People ID,1966,www.bradypeopleid.com,978-439-3160,"3 Federal Street
Suite 300 
Billerica, Massachusetts    01821
",NetAdvantage
Briteforce Inc.,-,www.briteforcesoftware.com,877-649-7377,"615 North Longwood Street 
Rockford, Illinois    61107
",NetAdvantage
"Cableworx, Inc.",1994,www.cableworx.com,212-352-0140,"104 West 27th Street 
New York, New York    10001
",NetAdvantage
CardSmart Technologies Inc.,1999,www.yourcardsolution.com,,"17 Normandy Court 
Basking Ridge, New Jersey    07920
",NetAdvantage
"Carter Brothers, LLC",2000,www.carterbrothers.com,404-254-4200,"3015 RN Martin Street 
East Point, Georgia    30344
",NetAdvantage
"CatchFIRE Systems, Inc.",2001,-,703-563-4161,"5885 Trinity Parkway
Suite 220 
Centreville, Virginia    20120
",NetAdvantage
"Colubris Networks, Inc.",2000,-,781-684-0001,"200 West Street
Suite 300 
Waltham, Massachusetts    02451
",NetAdvantage
ComnetiX Inc.,1980,-,905-829-9988,"2872 Bristol Circle
Suite 100 
Oakville, Ontario    L6H 6G4
",NetAdvantage
"Compass Technologies, Inc.",1994,-,414-858-9413,"15 East Uwchlan Avenue
Suite 430 
Exton, Pennsylvania    19341
",NetAdvantage
Condeco Software Inc.,2005,www.condecosoftware.com,408-508-7330,"2105 South Bascom Avenue
Suite 155 
Campbell, California    95008
",NetAdvantage
Galaxy Control Systems,1974,www.galaxysys.com,301-845-6600,"3 North Main Street 
Walkersville, Maryland    21793
",NetAdvantage
Dual Core LLC,1970,www.identicard.com,717-569-5797,"148 East Stiegel Street 
Manheim, Pennsylvania    17545
",NetAdvantage
"EasyLobby, Inc.",1997,www.easylobby.com,781-455-8558,"35 Highland Circle
3rd Floor 
Needham, Massachusetts    02494
",NetAdvantage
"Entech Sales and Service, Inc.",1981,www.entechsales.com,469-522-6000,"3404 Garden Brook Drive 
Dallas, Texas    75234
",NetAdvantage
"Essential Security Group, LLC",2007,www.essential-esg.com,419-754-0600,"4730 West Bancroft Street
Suite 1 
Toledo, Ohio    43615
",NetAdvantage
"Fargo Electronics, Inc.",1974,-,952-941-9470,"6533 Flying Cloud Drive 
Eden Prairie, Minnesota    55344
",NetAdvantage
Feenics Inc.,2010,www.feenics.com,855-333-6427,"301-2310 Street
Laurent Boulevard 
Ottawa, Ontario    K1G 5H9
",NetAdvantage
FRONTSTEPS,-,www.communityinvestorsinc.com,800-992-4384,"1290 North Broadway
Suite 1400 
Denver, Colorado    80203
",NetAdvantage
G4S Technology Software Solutions Inc.,1994,www.g4stechnology.com,781-457-0700,"21 North Avenue 
Burlington, Massachusetts    01803
",NetAdvantage
Hackett Security Inc.,1977,www.hackettsecurity.com,314-432-4200,"9811 South Forty Drive 
Saint Louis, Missouri    63124
",NetAdvantage
HID Global Corporation,1991,www.hidglobal.com,512-776-9000,"611 Center Ridge Drive 
Austin, Texas    78753
",NetAdvantage
IdentiSys Inc.,1999,www.identisys.com,952-294-1200,"7630 Commerce Way 
Eden Prairie, Minnesota    55344
",NetAdvantage
"Infrasafe, Inc.",2002,-,888-718-0807,"12612 Challenger Parkway
Suite 300 
Orlando, Florida    32826-2784
",NetAdvantage
